continent;country;rate;total_murder
Азія;Монако;0,0;0
Азія;Нідерланди;1,1;179
Азія;Швейцарія;0,7;52
Океанія;Австралія;1,0;229
Океанія;Нова Зеландія;0,9;39
Океанія;Фіджі;2,8;23
Океанія;Папуа Нова Гвінея;13,0;854
Океанія;Соломонові Острови;3,7;19
Океанія;Вануату;0,9;2
Океанія;Гуам;0,6;1
Океанія;Кірибаті;7,3;7
Океанія;Федеративні Штати Мікронезії;0,9;1
Океанія;Науру;9,8;1
Океанія;Палау;0,0;0
Океанія;Французька Полінезія;0,4;1
Океанія;Самоа;1,1;2
Океанія;Тонга;1,0;1
