continent,country,rate,total_murder,iso
Європа,Норвегія,"0,6",29,NOR
Європа,Швеція,"1,0",91,SWE
Європа,Велика Британія,"1,2",722,GBR
Європа,Албанія,"4,0",127,ALB
Європа,Андорра,"1,3",1,AND
Європа,Боснія і Герцеговина,"1,5",56,BIH
Європа,Хорватія,"1,4",62,HRV
Європа,Греція,"1,5",176,GRC
Європа,Італія,"0,9",529,ITA
Європа,Мальта,"1,0",4,MLT
Європа,Чорногорія,"3,5",22,MNE
Азія,Португалія,"1,2",124,PRT
Азія,Сербія,"1,2",123,SRB
Азія,Словенія,"0,7",15,SVN
Азія,Іспанія,"0,8",390,ESP
Азія,Північна Македонія,"1,9",40,MKD
Азія,Австрія,"0,6",56,AUT
Азія,Бельгія,"1,7",180,BEL
Азія,Франція,"1,1",682,FRA
Азія,Німеччина,"0,8",690,DEU
Азія,Ліхтенштейн,"2,8",1,LIE
Азія,Люксембург,"2,5",12,LUX
Азія,Монако,"0,0",0,MCO
Азія,Нідерланди,"1,1",179,NLD
Азія,Швейцарія,"0,7",52,CHE
Океанія,Австралія,"1,0",229,AUS
Океанія,Нова Зеландія,"0,9",39,NZL
Океанія,Фіджі,"2,8",23,FJI
Океанія,Папуа Нова Гвінея,"13,0",854,PNG
Океанія,Соломонові Острови,"3,7",19,SLB
Океанія,Вануату,"0,9",2,VUT
Океанія,Кірибаті,"7,3",7,KIR
Океанія,Федеративні Штати Мікронезії,"0,9",1,FSM
Океанія,Науру,"9,8",1,NRU
Океанія,Палау,"0,0",0,PLW
Океанія,Самоа,"1,1",2,WSM
Океанія,Тонга,"1,0",1,TON
